nohup: ignoring input
/home/x/epermiyt/scraper.py:244: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  scraped_at = datetime.utcnow().isoformat()
Found 230 permit links (will visit up to 200)
Scraped 2025-LMDEMO-0000269 (135)
Scraped 2025-DEMO-0000562 (136)
Scraped 2025-LMDEMO-0000268 (137)
Scraped 2025-LMDEMO-0000267 (138)
Scraped 2025-LMDEMO-0000266 (139)
Scraped 2025-DEMO-0000561 (140)
Scraped 2025-DEMO-0000560 (141)
Scraped 2025-DEMO-0000559 (142)
Scraped 2025-DEMO-0000552 (143)
Scraped 2025-DEMO-0000553 (144)
Scraped 2025-DEMO-0000554 (145)
Scraped 2025-DEMO-0000555 (146)
Scraped 2025-DEMO-0000556 (147)
Scraped 2025-DEMO-0000557 (148)
Scraped 2025-DEMO-0000558 (149)
Scraped 2025-LMDEMO-0000265 (150)
Scraped 2025-LMDEMO-0000264 (151)
Scraped 2025-DEMO-0000551 (152)
Scraped 2025-DEMO-0000550 (153)
Scraped 2025-DEMO-0000549 (154)
Scraped 2025-DEMO-0000548 (155)
Scraped 2025-DEMO-0000547 (156)
Scraped 2025-DEMO-0000546 (157)
Scraped 2025-DEMO-0000545 (158)
Scraped 2025-DEMO-0000544 (159)
Scraped 2025-DEMO-0000538 (160)
Scraped 2025-DEMO-0000539 (161)
Scraped 2025-DEMO-0000540 (162)
Scraped 2025-DEMO-0000541 (163)
Scraped 2025-DEMO-0000542 (164)
Scraped 2025-DEMO-0000543 (165)
Scraped 2025-LMDEMO-0000262 (166)
Scraped 2025-LMDEMO-0000263 (167)
Scraped 2025-LMDEMO-0000261 (168)
Scraped 2025-DEMO-0000537 (169)
Scraped 2025-LMDEMO-0000260 (170)
Scraped 2025-DEMO-0000536 (171)
Scraped 2025-DEMO-0000535 (172)
Scraped 2025-DEMO-0000534 (173)
Scraped 2025-DEMO-0000533 (174)
Scraped 2025-LMDEMO-0000259 (175)
Scraped 2025-LMDEMO-0000258 (176)
Scraped 2025-LMDEMO-0000257 (177)
Scraped 2025-LMDEMO-0000256 (178)
Scraped 2025-LMDEMO-0000255 (179)
Scraped 2025-DEMO-0000532 (180)
Scraped 2025-DEMO-0000531 (181)
Scraped 2025-DEMO-0000530 (182)
Scraped 2025-LMDEMO-0000254 (183)
Scraped 2025-DEMO-0000529 (184)
Scraped 2025-DEMO-0000523 (185)
Scraped 2025-DEMO-0000524 (186)
Scraped 2025-DEMO-0000525 (187)
Scraped 2025-DEMO-0000526 (188)
Scraped 2025-DEMO-0000527 (189)
Scraped 2025-DEMO-0000518 (190)
Scraped 2025-DEMO-0000517 (191)
Scraped 2025-DEMO-0000516 (192)
Scraped 2025-LMDEMO-0000241 (193)
Scraped 2025-LMDEMO-0000242 (194)
Scraped 2025-LMDEMO-0000243 (195)
Scraped 2025-LMDEMO-0000244 (196)
Scraped 2025-LMDEMO-0000245 (197)
Scraped 2025-LMDEMO-0000246 (198)
Scraped 2025-LMDEMO-0000247 (199)
Scraped 2025-LMDEMO-0000248 (200)
